stimulus_number,stim_fn,question,answer_choice_1,answer_choice_2
1,2012-02-0001_1.jpg,question,yes,no
2,2012-02-0002_2.jpg,question,yes,no
3,2012-02-0003_3.jpg,question,yes,no
4,2012-02-0008_4.jpg,question,yes,no
5,2012-02-0010_5.jpg,question,yes,no
6,2012-03-0000_6.jpg,question,yes,no
7,2012-03-0002_7.jpg,question,yes,no
8,2012-03-0008_8.jpg,question,yes,no
9,2012-03-0009_9.jpg,question,yes,no
10,2012-03-0010_10.jpg,question,yes,no
11,2012-03-0011_11.jpg,question,yes,no
12,2012-03-0012_12.jpg,question,yes,no
13,2012-03-0014_13.jpg,question,yes,no
14,2012-03-0016_14.jpg,question,yes,no
15,2012-03-0019_15.jpg,question,yes,no
16,2012-03-0020_16.jpg,question,yes,no
17,2012-03-0021_17.jpg,question,yes,no
18,2012-03-0022_18.jpg,question,yes,no
19,2012-04-0002_19.jpg,question,yes,no
20,2012-04-0007_20.jpg,question,yes,no
21,2012-04-0010_21.jpg,question,yes,no
22,2012-04-0013_22.jpg,question,yes,no
23,2012-04-0018_23.jpg,question,yes,no
24,2012-04-0019_24.jpg,question,yes,no
25,2012-04-0020_25.jpg,question,yes,no
26,2012-04-0021_26.jpg,question,yes,no
27,2012-04-0023_27.jpg,question,yes,no
28,2012-04-0026_28.jpg,question,yes,no
29,2012-04-0028_29.jpg,question,yes,no
30,2012-04-0030_30.jpg,question,yes,no
31,2012-04-0032_31.jpg,question,yes,no
32,2012-04-0033_32.jpg,question,yes,no
33,2012-04-0038_33.jpg,question,yes,no
34,2012-05-0000_34.jpg,question,yes,no
35,2012-05-0001_35.jpg,question,yes,no
36,2012-05-0004_36.jpg,question,yes,no
37,2012-05-0006_37.jpg,question,yes,no
38,2012-05-0007_38.jpg,question,yes,no
39,2012-05-0011_39.jpg,question,yes,no
40,2012-05-0015_40.jpg,question,yes,no
41,2012-05-0016_41.jpg,question,yes,no
42,2012-05-0018_42.jpg,question,yes,no
43,2012-05-0021_43.jpg,question,yes,no
44,2012-05-0022_44.jpg,question,yes,no
